Rank,Team,Win,Draw,Loss,Goals,Points,WinHome,DrawHome,LossHome,GoalsHome,WinAway,DrawAway,LossAway,GoalsAway
1,Man Utd,28,5,5,86:43,89,16,0,3,45:19,12,5,2,41:24
2,Man City,23,9,6,66:34,78,14,3,2,41:15,9,6,4,25:19
3,Chelsea,22,9,7,75:39,75,12,5,2,41:16,10,4,5,34:23
4,Arsenal,21,10,7,72:37,73,11,5,3,47:23,10,5,4,25:14
5,Spurs,21,9,8,66:46,72,11,5,3,29:18,10,4,5,37:28
6,Everton,16,15,7,55:40,63,12,6,1,33:17,4,9,6,22:23
7,Liverpool,16,13,9,71:43,61,9,6,4,33:16,7,7,5,38:27
8,West Brom,14,7,17,53:57,49,9,4,6,32:25,5,3,11,21:32
9,West Ham,12,10,16,45:53,46,9,6,4,34:22,3,4,12,11:31
10,Swansea,11,13,14,47:51,46,6,8,5,28:26,5,5,9,19:25
11,Norwich,10,14,14,41:58,44,8,7,4,25:20,2,7,10,16:38
12,Fulham,11,10,17,50:60,43,7,3,9,28:30,4,7,8,22:30
13,Stoke,9,15,14,34:45,42,7,7,5,21:22,2,8,9,13:23
14,Aston Villa,10,11,17,47:69,41,5,5,9,23:28,5,6,8,24:41
15,Southampton,9,14,15,49:60,41,6,7,6,26:24,3,7,9,23:36
16,Newcastle,11,8,19,45:68,41,9,1,9,24:31,2,7,10,21:37
17,Sunderland,9,12,17,41:54,39,5,8,6,20:19,4,4,11,21:35
18,Wigan,9,9,20,47:73,36,4,6,9,26:39,5,3,11,21:34
19,Reading,6,10,22,43:73,28,4,8,7,23:33,2,2,15,20:40
20,QPR,4,13,21,30:60,25,2,8,9,13:28,2,5,12,17:32
