Rank,Team,Win,Draw,Loss,Goals,Points,WinHome,DrawHome,LossHome,GoalsHome,WinAway,DrawAway,LossAway,GoalsAway
1,Man City,27,5,6,102:37,86,17,1,1,63:13,10,4,5,39:24
2,Liverpool,26,6,6,101:50,84,16,1,2,53:18,10,5,4,48:32
3,Chelsea,25,7,6,71:27,82,15,3,1,43:11,10,4,5,28:16
4,Arsenal,24,7,7,68:41,79,13,5,1,36:11,11,2,6,32:30
5,Everton,21,9,8,61:39,72,13,3,3,38:19,8,6,5,23:20
6,Spurs,21,6,11,55:51,69,11,3,5,30:23,10,3,6,25:28
7,Man Utd,19,7,12,64:43,64,9,3,7,29:21,10,4,5,35:22
8,Southampton,15,11,12,54:46,56,8,6,5,32:23,7,5,7,22:23
9,Stoke,13,11,14,45:52,50,10,6,3,27:17,3,5,11,18:35
10,Newcastle,15,4,19,43:59,49,8,3,8,23:28,7,1,11,20:31
11,Crystal Palace,13,6,19,33:48,45,8,3,8,18:23,5,3,11,15:25
12,Swansea,11,9,18,54:54,42,6,5,8,33:26,5,4,10,21:28
13,West Ham,11,7,20,40:51,40,7,3,9,25:26,4,4,11,15:25
14,Aston Villa,10,8,20,39:61,38,6,3,10,22:29,4,5,10,17:32
15,Sunderland,10,8,20,41:60,38,5,3,11,21:27,5,5,9,20:33
16,Hull,10,7,21,38:53,37,7,4,8,20:21,3,3,13,18:32
17,West Brom,7,15,16,43:59,36,4,9,6,24:27,3,6,10,19:32
18,Norwich,8,9,21,28:62,33,6,6,7,17:18,2,3,14,11:44
19,Fulham,9,5,24,40:85,32,5,3,11,24:38,4,2,13,16:47
20,Cardiff,7,9,22,32:74,30,5,5,9,20:35,2,4,13,12:39
