Rank,Team,Win,Draw,Loss,Goals,Points,WinHome,DrawHome,LossHome,GoalsHome,WinAway,DrawAway,LossAway,GoalsAway
1,Man City,32,2,4,95:23,98,18,0,1,57:12,14,2,3,38:11
2,Liverpool,30,7,1,89:22,97,17,2,0,55:10,13,5,1,34:12
3,Chelsea,21,9,8,63:39,72,12,6,1,39:12,9,3,7,24:27
4,Spurs,23,2,13,67:39,71,12,2,5,34:16,11,0,8,33:23
5,Arsenal,21,7,10,73:51,70,14,3,2,42:16,7,4,8,31:35
6,Man Utd,19,9,10,65:54,66,10,6,3,33:25,9,3,7,32:29
7,Wolves,16,9,13,47:46,57,10,4,5,28:21,6,5,8,19:25
8,Everton,15,9,14,54:46,54,10,4,5,30:21,5,5,9,24:25
9,West Ham,15,7,16,52:55,52,9,4,6,32:27,6,3,10,20:28
10,Leicester,15,7,16,51:48,52,8,3,8,24:20,7,4,8,27:28
11,Watford,14,8,16,52:59,50,8,3,8,26:28,6,5,8,26:31
12,Crystal Palace,14,7,17,51:53,49,5,5,9,19:23,9,2,8,32:30
13,Bournemouth,13,6,19,56:70,45,8,5,6,30:25,5,1,13,26:45
14,Newcastle,12,9,17,42:48,45,8,1,10,24:25,4,8,7,18:23
15,Burnley,11,7,20,45:68,40,7,2,10,24:32,4,5,10,21:36
16,Southampton,9,12,17,45:65,39,5,8,6,27:30,4,4,11,18:35
17,Brighton,9,9,20,35:60,36,6,5,8,19:28,3,4,12,16:32
18,Cardiff,10,4,24,34:69,34,6,2,11,21:38,4,2,13,13:31
19,Fulham,7,5,26,34:81,26,6,3,10,22:36,1,2,16,12:45
20,Huddersfield,3,7,28,22:76,16,2,3,14,10:31,1,4,14,12:45
