Rank,Team,Win,Draw,Loss,Goals,Points,WinHome,DrawHome,LossHome,GoalsHome,WinAway,DrawAway,LossAway,GoalsAway
1,Liverpool,32,3,3,85:33,99,18,1,0,52:16,14,2,3,33:17
2,Man City,26,3,9,102:35,81,15,2,2,57:13,11,1,7,45:22
3,Man Utd,18,12,8,66:36,66,10,7,2,40:17,8,5,6,26:19
4,Chelsea,20,6,12,69:54,66,11,3,5,30:16,9,3,7,39:38
5,Leicester,18,8,12,67:41,62,11,4,4,35:17,7,4,8,32:24
6,Spurs,16,11,11,61:47,59,12,3,4,36:17,4,8,7,25:30
7,Wolves,15,14,9,51:40,59,8,7,4,27:19,7,7,5,24:21
8,Arsenal,14,14,10,56:48,56,10,6,3,36:24,4,8,7,20:24
9,Burnley,15,9,14,43:50,54,8,4,7,24:23,7,5,7,19:27
10,Sheffield Utd,14,12,12,39:39,54,10,3,6,24:15,4,9,6,15:24
11,Southampton,15,7,16,51:60,52,6,3,10,21:35,9,4,6,30:25
12,Everton,13,10,15,44:56,49,8,7,4,24:21,5,3,11,20:35
13,Newcastle,11,11,16,38:58,44,6,8,5,20:21,5,3,11,18:37
14,Crystal Palace,11,10,17,31:50,43,6,5,8,15:20,5,5,9,16:30
15,Brighton,9,14,15,39:54,41,5,7,7,20:27,4,7,8,19:27
16,West Ham,10,9,19,49:62,39,6,4,9,30:33,4,5,10,19:29
17,Aston Villa,9,8,21,41:67,35,7,3,9,22:30,2,5,12,19:37
18,Bournemouth,9,7,22,40:65,34,5,6,8,22:30,4,1,14,18:35
19,Watford,8,10,20,36:64,34,6,6,7,22:27,2,4,13,14:37
20,Norwich,5,6,27,26:75,21,4,3,12,19:37,1,3,15,7:38
